Source,Target,Weight
JULES,VINCENT,22
LANCE,VINCENT,9
MIA,VINCENT,9
JIMMIE,THE WOLF,8
JULES,THE WOLF,8
MARSELLUS,VINCENT,7
JODY,LANCE,7
JODY,VINCENT,7
JIMMIE,JULES,7
BUTCH,MARSELLUS,6
BUTCH,ESMARELDA,6
THE WOLF,VINCENT,6
ENGLISH DAVE,VINCENT,5
MARSELLUS,MIA,5
BUTCH,FABIENNE,5
JIMMIE,VINCENT,4
JULES,MARVIN,3
MARVIN,VINCENT,3
BUTCH,ENGLISH DAVE,3
BUTCH,VINCENT,3
ENGLISH DAVE,MARSELLUS,3
JULES,MARSELLUS,3
LANCE,MARSELLUS,3
LANCE,MIA,3
HONEY BUNNY,MANAGER,2
HONEY BUNNY,PUMPKIN,2
MANAGER,PUMPKIN,2
JULES,ROGER,2
MARVIN,ROGER,2
ROGER,VINCENT,2
BRETT,JULES,2
BRETT,VINCENT,2
JODY,MARSELLUS,2
LANCE,PREACHER,2
MIA,PREACHER,2
PREACHER,VINCENT,2
BUDDY,VINCENT,2
JODY,MIA,2
BUTCH,MAYNARD,2
MARSELLUS,MAYNARD,2
MAYNARD,THE GIMP,2
MAYNARD,ZED,2
THE GIMP,ZED,2
JIMMIE,MARSELLUS,2
JULES,WINSTON,2
JULES,PUMPKIN,2
PUMPKIN,VINCENT,2
HONEY BUNNY,WAITRESS,1
HONEY BUNNY,YOUNG MAN,1
HONEY BUNNY,YOUNG WOMAN,1
MANAGER,WAITRESS,1
MANAGER,YOUNG MAN,1
MANAGER,YOUNG WOMAN,1
PUMPKIN,WAITRESS,1
PUMPKIN,YOUNG MAN,1
PUMPKIN,YOUNG WOMAN,1
WAITRESS,YOUNG MAN,1
WAITRESS,YOUNG WOMAN,1
YOUNG MAN,YOUNG WOMAN,1
BRETT,BUTCH,1
BRETT,ENGLISH DAVE,1
BRETT,MARSELLUS,1
BRETT,MARVIN,1
BRETT,ROGER,1
BUTCH,JULES,1
BUTCH,MARVIN,1
BUTCH,ROGER,1
ENGLISH DAVE,JULES,1
ENGLISH DAVE,MARVIN,1
ENGLISH DAVE,ROGER,1
MARSELLUS,MARVIN,1
MARSELLUS,ROGER,1
BUTCH,JODY,1
BUTCH,LANCE,1
BUTCH,TRUDI,1
ENGLISH DAVE,JODY,1
ENGLISH DAVE,LANCE,1
ENGLISH DAVE,TRUDI,1
JODY,TRUDI,1
LANCE,TRUDI,1
MARSELLUS,TRUDI,1
TRUDI,VINCENT,1
MARSELLUS,PREACHER,1
BUDDY,MIA,1
BUDDY,WAITRESS,1
MIA,WAITRESS,1
VINCENT,WAITRESS,1
ED SULLIVAN,MARSELLUS,1
ED SULLIVAN,MIA,1
ED SULLIVAN,VINCENT,1
JODY,PREACHER,1
VINCENT,VINCENT IN THE MALIBU,1
BUTCH,CAPT. KOONS,1
BUTCH,KLONDIKE,1
BUTCH,MIA,1
BUTCH,MOTHER,1
CAPT. KOONS,ESMARELDA,1
CAPT. KOONS,KLONDIKE,1
CAPT. KOONS,MIA,1
CAPT. KOONS,MOTHER,1
CAPT. KOONS,VINCENT,1
ESMARELDA,KLONDIKE,1
ESMARELDA,MIA,1
ESMARELDA,MOTHER,1
ESMARELDA,VINCENT,1
KLONDIKE,MIA,1
KLONDIKE,MOTHER,1
KLONDIKE,VINCENT,1
MIA,MOTHER,1
MOTHER,VINCENT,1
ENGLISH DAVE,MIA,1
ENGLISH DAVE,ESMARELDA,1
ESMARELDA,FABIENNE,1
BUTCH,LOOKY-LOO WOMAN,1
BUTCH,PEDESTRIAN,1
LOOKY-LOO WOMAN,MARSELLUS,1
LOOKY-LOO WOMAN,PEDESTRIAN,1
MARSELLUS,PEDESTRIAN,1
BUTCH,THE GIMP,1
BUTCH,ZED,1
MARSELLUS,THE GIMP,1
MARSELLUS,ZED,1
BRETT,JIMMIE,1
BRETT,THE WOLF,1
FOURTH MAN,JULES,1
FOURTH MAN,VINCENT,1
JIMMIE,WINSTON,1
MARSELLUS,THE WOLF,1
MARSELLUS,WINSTON,1
THE WOLF,WINSTON,1
JULES,RAQUEL,1
RAQUEL,VINCENT,1
RAQUEL,WINSTON,1
VINCENT,WINSTON,1
JULES,PATRON,1
PATRON,VINCENT,1
HONEY BUNNY,JULES,1
HONEY BUNNY,VINCENT,1
JULES,MANAGER,1
MANAGER,VINCENT,1
JULES,YOLANDA,1
PUMPKIN,YOLANDA,1
VINCENT,YOLANDA,1
